タイトル,プラットフォーム,配信開始日時,制作会社,URL
最強の職業は勇者でも賢者でもなく鑑定士（仮）らしいですよ？,Hulu,2026-04-04 22:00,スタジオフラッド,https://kanteishikari-anime.com/
最強の職業は勇者でも賢者でもなく鑑定士（仮）らしいですよ？,AnimeFesta,2026-04-04 22:30,スタジオフラッド,https://kanteishikari-anime.com/
カナン様はあくまでチョロい,U-NEXT,2026-04-04 01:00,スタジオKAI,https://kanachoro-anime.com/
カナン様はあくまでチョロい,アニメ放題,2026-04-04 01:00,スタジオKAI,https://kanachoro-anime.com/
カナン様はあくまでチョロい,dアニメストア,2026-04-04 02:40,スタジオKAI,https://kanachoro-anime.com/
カナン様はあくまでチョロい,Hulu,2026-04-07 01:00,スタジオKAI,https://kanachoro-anime.com/
カナン様はあくまでチョロい,Lemino,2026-04-16 00:00,スタジオKAI,https://kanachoro-anime.com/
カナン様はあくまでチョロい,アニメタイムズ,2026-04-16 00:00,スタジオKAI,https://kanachoro-anime.com/
ポンコツ風紀委員とスカート丈が不適切なJKの話,dアニメストア,2026-04-06 00:00,ゼロジー,https://ponsuka.com/
ポンコツ風紀委員とスカート丈が不適切なJKの話,Prime Video,2026-04-06 00:00,ゼロジー,https://ponsuka.com/
ポンコツ風紀委員とスカート丈が不適切なJKの話,dアニメストア for Prime Video,2026-04-06 00:00,ゼロジー,https://ponsuka.com/
ポンコツ風紀委員とスカート丈が不適切なJKの話,アニメタイムズ,2026-04-06 00:00,ゼロジー,https://ponsuka.com/
ポンコツ風紀委員とスカート丈が不適切なJKの話,U-NEXT,2026-04-07 00:00,ゼロジー,https://ponsuka.com/
ポンコツ風紀委員とスカート丈が不適切なJKの話,アニメ放題,2026-04-07 00:00,ゼロジー,https://ponsuka.com/
ポンコツ風紀委員とスカート丈が不適切なJKの話,ABEMA,2026-04-11 00:00,ゼロジー,https://ponsuka.com/
ポンコツ風紀委員とスカート丈が不適切なJKの話,FOD,2026-04-11 00:00,ゼロジー,https://ponsuka.com/
ポンコツ風紀委員とスカート丈が不適切なJKの話,バンダイチャンネル,2026-04-13 00:00,ゼロジー,https://ponsuka.com/
ゴーストコンサート : missing Songs,Hulu,2026-04-05 00:30,ENGI,https://ghostconcert-anime.com/
ゴーストコンサート : missing Songs,U-NEXT,2026-04-05 00:30,ENGI,https://ghostconcert-anime.com/
ゴーストコンサート : missing Songs,アニメ放題,2026-04-05 00:30,ENGI,https://ghostconcert-anime.com/
LIAR GAME -ライアーゲーム-,ABEMA,2026-03-31 00:30,マッドハウス,https://www.liargame-anime.com/
レプリカだって、恋をする。,ABEMA,2026-04-07 00:00,Voil,https://replico.jp/
レプリカだって、恋をする。,dアニメストア,2026-04-07 00:00,Voil,https://replico.jp/
レプリカだって、恋をする。,U-NEXT,2026-04-07 00:00,Voil,https://replico.jp/
レプリカだって、恋をする。,アニメ放題,2026-04-12 00:00,Voil,https://replico.jp/
レプリカだって、恋をする。,Prime Video,2026-04-12 00:00,Voil,https://replico.jp/
クラスで2番目に可愛い女の子と友だちになった,dアニメストア,2026-04-07 00:00,CONNECT,https://kuranika.asmik-ace.co.jp/
クラスで2番目に可愛い女の子と友だちになった,アニメ放題,2026-04-07 00:00,CONNECT,https://kuranika.asmik-ace.co.jp/
クラスで2番目に可愛い女の子と友だちになった,Prime Video,2026-04-11 00:00,CONNECT,https://kuranika.asmik-ace.co.jp/
クラスで2番目に可愛い女の子と友だちになった,ABEMA,2026-04-11 00:00,CONNECT,https://kuranika.asmik-ace.co.jp/
クラスで2番目に可愛い女の子と友だちになった,DMM TV,2026-04-11 00:00,CONNECT,https://kuranika.asmik-ace.co.jp/
クラスで2番目に可愛い女の子と友だちになった,FOD,2026-04-11 00:00,CONNECT,https://kuranika.asmik-ace.co.jp/
愛してるゲームを終わらせたい,ABEMA,2026-04-14 23:30,Felix Film,https://www.aishiteru-game.com/
愛してるゲームを終わらせたい,dアニメストア,2026-04-14 23:30,Felix Film,https://www.aishiteru-game.com/
愛してるゲームを終わらせたい,アニメタイムズ,2026-04-14 23:30,Felix Film,https://www.aishiteru-game.com/
愛してるゲームを終わらせたい,AnimeFesta,2026-04-19 23:30,Felix Film,https://www.aishiteru-game.com/
愛してるゲームを終わらせたい,アニメ放題,2026-04-19 23:30,Felix Film,https://www.aishiteru-game.com/
愛してるゲームを終わらせたい,FOD,2026-04-19 23:30,Felix Film,https://www.aishiteru-game.com/
転生したらスライムだった件 第4期,Prime Video,2024-03-30 23:00,エイトビット,https://www.ten-sura.com/anime/tensura
転生したらスライムだった件 第4期,Netflix,2024-03-30 23:00,エイトビット,https://www.ten-sura.com/anime/tensura
転生したらスライムだった件 第4期,Disney+（ディズニープラス）,2024-03-30 23:00,エイトビット,https://www.ten-sura.com/anime/tensura
転生したらスライムだった件 第4期,U-NEXT,2024-03-30 23:00,エイトビット,https://www.ten-sura.com/anime/tensura
転生したらスライムだった件 第4期,ABEMA,2024-04-03 00:00,エイトビット,https://www.ten-sura.com/anime/tensura
転生したらスライムだった件 第4期,アニメ放題,2026-04-04 23:00,エイトビット,https://www.ten-sura.com/anime/tensura
とんがり帽子のアトリエ,ABEMA,2026-04-06 23:00,BUG FILMS,https://tongari-anime.com/
とんがり帽子のアトリエ,Netflix,2026-04-06 23:00,BUG FILMS,https://tongari-anime.com/
とんがり帽子のアトリエ,Prime Video,2026-04-06 23:00,BUG FILMS,https://tongari-anime.com/
とんがり帽子のアトリエ,dアニメストア,2026-04-06 23:00,BUG FILMS,https://tongari-anime.com/
Re:ゼロから始める異世界生活 4th season 喪失編,U-NEXT,2026-03-31 22:30,WHITE FOX,https://re-zero-anime.jp/tv/
Re:ゼロから始める異世界生活 4th season 喪失編,ABEMA,2026-04-08 02:58,WHITE FOX,https://re-zero-anime.jp/tv/
Re:ゼロから始める異世界生活 4th season 喪失編,dアニメストア,2026-04-08 02:58,WHITE FOX,https://re-zero-anime.jp/tv/
よわよわ先生,dアニメストア,2026-04-11 00:00,ブレインズ・ベース,https://www.yowayowasensei-anime.com/
よわよわ先生,AnimeFesta,2026-04-11 00:00,ブレインズ・ベース,https://www.yowayowasensei-anime.com/
